YYY/MM/DD,HH:mm:SS.ss,ET,MAG,M,LAT,LON,DEPTH,Q,EVID,NPH,NGRM,Log10 MAG,Time (seconds),Day,Seconds from start,Lag,Waiting time (minutes),Time of occurrence (minutes),Count,Exponential Density Waiting time (minutes)
2014/01/12,1:46:35.28 PM,le,0.8,l,33.375,-116.266,11.8,A,11413194,44,0,-0.096910013,2975716.8,12,59999716.8,59972589,7.5355,16666.588,67,0.0216491489
2014/01/12,10:26:34.04 PM,le,1.77,l,32.564,-115.7,9.7,B,11413258,20,0,0.2479732664,4847642.4,12,61871642.4,61559363.4,86.744166667,17186.567333,68,0.0026709891
2014/01/13,3:10:07.13 AM,le,2.27,l,36.146,-118.067,1.6,A,11413330,42,0,0.3560258572,684427.8,13,62892427.8,62809318.2,23.086,17470.118833,69,0.0143558342
2014/01/13,10:50:01.36 AM,le,1.4,l,32.891,-116.246,7.4,A,11413394,29,0,0.1461280357,2340081.6,13,64548081.6,64487505.6,16.826666667,17930.022667,70,0.0169372295
2014/01/13,8:40:29.82 PM,le,0.59,l,33.634,-116.684,17.8,A,11413506,37,0,-0.229147988,4465789.2,13,66673789.2,66652752,5.8436666667,18520.497,71,0.0226386954
2014/01/13,9:55:29.16 PM,le,0.91,l,36.103,-117.891,4.9,A,11413522,10,0,-0.040958608,4735749.6,13,66943749.6,66934164,2.6626666667,18595.486,72,0.0246233601
2014/01/14,2:45:15.24 AM,le,1.94,l,33.825,-116.103,2.6,A,11413586,76,0,0.2878017299,594914.4,14,67986914.4,67762123.2,62.442,18885.254,73,0.0050756683
2014/01/14,10:15:28.66 PM,le,0.9,l,33.501,-116.468,9.4,A,11413834,36,0,-0.045757491,4807719.6,14,72199719.6,71866468.2,92.569833333,20055.477667,74,0.0022899905
2014/01/15,7:02:10.00 AM,le,0.51,l,33.509,-116.458,11.7,A,11413914,26,0,-0.292429824,1519800,15,74095800,73816206,77.665,20582.166667,75,0.0033949883
2014/01/15,7:50:43.33 AM,le,1.17,l,34.057,-116.987,16.3,A,11413930,50,0,0.0681858617,1694599.8,15,74270599.8,74158857,31.039666667,20630.722167,76,0.0116352373
2014/01/15,8:18:13.49 AM,re,3.2,h,36.687,-121.114,15.9,C,11413938,17,0,0.5051499783,1793609.4,15,74369609.4,74270599.8,27.502666667,20658.224833,77,0.0127748436
2014/01/15,10:35:08.87 AM,le,0.9,l,35.656,-118.459,10,A,11414010,15,0,-0.045757491,2286532.2,15,74862532.2,74761729.2,28.000833333,20795.147833,78,0.0126078222
2014/01/15,2:25:27.74 PM,le,0.94,l,34.133,-117.428,4,A,11414042,22,0,-0.026872146,3115664.4,15,75691664.4,75617045.4,20.7275,21025.462333,79,0.0152787468
2014/01/15,3:29:29.23 PM,le,1.39,l,34.143,-116.424,10.9,A,11414058,44,0,0.1430148003,3346153.8,15,75922153.8,75706467,59.913,21089.487167,80,0.0054263612
2014/01/15,10:47:33.24 PM,le,1.51,l,33.59,-116.627,15.1,A,11414218,75,0,0.1789769473,4923194.4,15,77499194.4,77257914.6,67.022166667,21527.554,81,0.0044972242
2014/01/16,1:04:37.99 AM,qb,1.64,l,35.033,-117.687,0,C,11414274,16,0,0.214843848,232679.4,16,77992679.4,77981561.4,3.0883333333,21664.633167,82,0.0243480173
2014/01/16,12:09:26.85 PM,le,0.36,l,33.636,-116.71,15.2,A,37169573,18,0,-0.443697499,2626011,16,80386011,80385833.4,0.0493333333,22329.4475,83,0.0263833745
2014/01/16,2:19:23.22 PM,le,1.08,l,35.297,-117.455,6.4,B,11414458,21,0,0.0334237555,3093793.2,16,80853793.2,80693787,44.446166667,22459.387,84,0.0081650937
2014/01/16,2:29:00.72 PM,le,0.62,l,33.48,-116.401,12.6,A,11414474,28,0,-0.207608311,3128443.2,16,80888443.2,80853793.2,9.625,22469.012,85,0.0204865011
2014/01/16,5:52:12.75 PM,le,0.35,l,33.493,-116.558,12.7,A,11414506,17,0,-0.455931956,3859965,16,81619965,81419637,55.646666667,22672.2125,86,0.0060737478
2014/01/16,7:22:00.69 PM,le,0.79,l,33.498,-116.557,13.5,A,11414562,36,0,-0.102372909,4183241.4,16,81943241.4,81915883.2,7.5995,22762.0115,87,0.0216125768
2014/01/16,10:29:29.64 PM,le,0.78,l,33.589,-116.771,15.7,A,11414650,41,0,-0.107905397,4858178.4,16,82618178.4,82499091.6,33.079666667,22949.494,88,0.011024785
